species,location,c1_m,c1_sd,c1_lb,c1_ub,c2_m,c2_sd,c2_lb,c2_q3,n1_m,n1_sd,n1_lb,n1_ub,n2_m,n2_sd,n2_lb,n2_ub,p1_m,p1_sd,p1_lb,p1_ub,p2_m,p2_sd,p2_lb,p2_ub,ac_m,ac_sd,ac_lb,ac_ub,an_m,an_sd,an_lb,an_ub,ap_m,ap_sd,ap_lb,ap_ub,family,n_ae1,n_ae2
Cantherhines sandwichiensis,Moorea,21.25683304652987,1.5019869172166815,18.73956268010349,24.644247502887204,17.966353051152556,1.0142922468640871,15.747432488310803,19.76418675725752,3.0589825924265144,0.7658474931453496,1.7017150133601309,4.746235344080349,1.246879103903689,0.4071324523507032,0.4305700032991712,2.1285146133401973,0.4128126154687019,0.04659722395162114,0.3340248759338825,0.521603691444275,0.3087221787524828,0.0936714461776006,0.07817469944198242,0.45377333599275604,0.15107728888564514,0.07088880144502886,0.023574877618205172,0.3004565147882416,0.569171913801685,0.1696846188372194,0.16480452020852254,0.8665933074088886,0.25300523872193387,0.2100833844896559,0.008622253269071914,0.8013299689219524,Monacanthidae,5,5
Centropyge flavissima,Mangareva,42.740543722443064,1.7099451403331039,39.280925955795595,46.00708349693339,28.776525935106427,4.61841078895844,19.32368212464972,38.28716300979834,6.910991799482814,0.4787790038982808,5.943745713620165,7.8721428631185075,4.5571879293531135,1.0166896118875663,2.278479926532692,6.390038442761322,0.3643832694216503,0.022507365644378385,0.3202368989614756,0.40998667096730607,0.21618957112909046,0.0997084309127704,0.021159213500313336,0.36460406023894615,0.32566883934532764,0.11145312398932947,0.09709747615125605,0.5483217105670998,0.33826214149760364,0.15070215249113356,0.06189048456248527,0.6690804417685158,0.40714488732814086,0.26968263623162436,0.01971626433509849,0.9408241788397601,Pomacanthidae,7,5
Centropyge flavissima,Moorea,34.785575845492225,2.4433081580432354,30.07504989591979,39.493934833479784,27.932274909519855,2.309354053028445,22.75546854637726,31.771488400450494,7.193348443757607,1.277397786977445,4.848625873750988,9.923218970547737,4.906447718944791,1.457260427304875,1.4366367057238831,7.4162528997508685,0.7024931350636071,0.08145403694064829,0.5425950694976179,0.8732922054300434,0.45799475286898644,0.11869937816711805,0.17690805103187618,0.6646353795039786,0.19391329887667272,0.07974574161612044,0.037765656306490585,0.35501932321800417,0.3095548697537188,0.1972914451924742,0.02267055346599476,0.7937414805991349,0.34232927231464994,0.17462923261829072,0.04481383712152664,0.7442491488125667,Pomacanthidae,7,4
Cephalopholis argus,Mangareva,48.93010087315199,3.5297774391886723,40.61167202373511,55.42409553595974,32.62040638877101,6.783271336726511,18.31779345204095,45.24103150464531,9.179347069974309,2.3445610502299647,4.973094383576964,14.032881776090198,5.2593736593476885,1.585600997538633,1.8810185601310505,8.37861908776906,0.9934170700844444,0.3997849467870736,0.40335741992106006,1.979082926332212,0.6353819609690607,0.348732537846344,0.06145710727822668,1.397038509284247,0.3305952317752602,0.14321568650936256,0.058567004217128224,0.6296789538507076,0.40183482042655894,0.19568979725952715,0.03740429132708803,0.7919115342157648,0.36207811918162075,0.2527025170439348,0.014315867937278905,0.9109735957302761,Serranidae,3,5
Cephalopholis argus,Moorea,38.36249867727009,4.892580218413414,28.073737322396028,47.69526065306362,19.29514441188958,2.219131752771957,14.860136853257922,23.596540891976005,8.61397601068048,2.3453621353751277,4.461422563447057,13.446896062245504,3.8030848016630476,0.979307196733824,1.8135788244339492,5.796183822704668,2.180319255699414,0.5605991274492029,1.0844135013837206,3.341012877991152,1.5431531572595951,0.6334997983239664,0.26537253258755156,2.748575140306424,0.48848528101396443,0.090226324161593,0.2819006895338311,0.6434702895387444,0.5271855633623032,0.1685036406983517,0.14068213948636452,0.8054719475816473,0.29512100964893484,0.22500890603162307,0.010515715109136332,0.8481792498493355,Serranidae,5,9
Cephalopholis urodeta,Moorea,40.72563809217016,3.4122157817483405,33.2048310499202,46.938146247676805,19.993074250143813,3.005793954169143,13.807615284185646,25.947635191131965,8.734656766158103,1.821283664151923,4.676210858403235,12.060020282716339,2.417249038955885,0.5579045264969248,1.410069782881522,3.534533445553132,2.9009347324686092,0.9004093508402172,1.0116389313402734,4.572105728665926,1.6478671184381513,0.9234887836882629,0.1409797079356623,3.5549529624783047,0.5056835881211962,0.08522191957643999,0.325457294422016,0.665993230830515,0.7073964409041423,0.10737650688925617,0.4289847790103899,0.8518120564027419,0.43086642115755375,0.25961896087250386,0.023979141686592258,0.9339505177054347,Serranidae,6,5
Chaetodon auriga,Mangareva,43.91540386708604,1.404070591025264,41.23073355114514,46.89598495336456,40.11179311074092,3.2203899405096794,32.130849298338276,44.679848019652326,7.24911206000521,0.49458824815154906,6.266228429594908,8.265872980080005,5.541735134055309,1.0594491785493276,3.117876645654769,7.226813485974462,0.49719142895458635,0.07269656986894536,0.3658802871856701,0.652804031575927,0.3179874495562166,0.1404769695613988,0.03713733770943765,0.5593115623176181,0.0863152820133519,0.07111266466537779,0.003123865005965202,0.2662621329880934,0.23359111818128317,0.14681079330492694,0.016976346467400663,0.5722715377926404,0.36294552713440204,0.25902914580110453,0.015479184279244607,0.9207286592175856,Chaetodontidae,8,7
Chaetodon auriga,Moorea,43.27621598974204,2.523619527879502,38.62030217688503,48.64262417662069,35.720988554871965,3.540761235841235,28.456178535937823,42.119689691339765,6.800361186808262,1.2243007904402188,4.593877185523777,9.346989194463818,5.128878873068301,1.482484462967546,1.9297404335251898,7.891344107497971,0.7015714990312859,0.06028664029320309,0.5922259287653672,0.8297600495160462,0.6199538438133527,0.0840740888877702,0.4207966750023792,0.7598602552541749,0.17238832717874142,0.0891355167477881,0.017818963028526636,0.3529407834782678,0.24317792510793812,0.18261796751864984,0.010392361230445698,0.6878844708102886,0.11555085902567684,0.101144162290509,0.003949733385099671,0.3747462529621505,Chaetodontidae,9,8
Chaetodon auriga,Tetiaroa,45.303103356527416,2.9118451947732655,39.6392709714034,51.298958783420616,33.546813940312475,2.680480786896363,27.94353900426213,38.77746259963188,6.617126056291002,0.6377797393408712,5.334454753154808,7.886698079326498,4.553653743897204,0.8968456179992458,2.594827083838617,6.146463749121352,0.7751061823181981,0.22827595179684382,0.45283430383545126,1.3703350811931254,0.4704101562668346,0.22236225630944637,0.08293496304898997,0.9529440099113242,0.2566252647846541,0.07439030216150148,0.10732860453397995,0.40311267742819923,0.3069092003417465,0.14429127445300993,0.04440259060742881,0.6116994012487308,0.3882243145631043,0.23775270335183024,0.022830492247806027,0.8879543835281944,Chaetodontidae,10,7
Chaetodon citrinellus,Moorea,37.3635565856732,3.5823949585845694,31.54150079838958,45.446627451240694,32.04795218186637,2.4155871444379264,26.933856809160925,36.41132463576751,6.180473015261554,1.1321490310336448,4.490567112836714,8.85766044950175,4.944698232111054,1.3194675013605484,1.9955255443984123,7.49372179554527,1.2070313021293937,0.30516534670430157,0.7299322357481344,1.9159361208008,0.71673071507056485,0.12163632888692744,0.4724168196134902,0.9527239045670617,0.13658953946901622,0.08495828455737894,0.00855995333558508,0.3223589089442123,0.19901832526973026,0.1697192292758146,0.0062066512013797944,0.6374929759182233,0.3759445930880105,0.16052640900437748,0.05315674160841222,0.661593636725555,Chaetodontidae,4,8
Chaetodon ephippium,Moorea,38.937825938732075,1.5122157749672707,35.71943702236546,41.91768794550489,25.90327606871917,2.955936900979094,19.82279189740941,31.87269576268107,7.431827913190022,0.6571299201256687,5.901181914308485,8.644933899624116,3.055219245937145,0.7411350976622751,1.555656959497276,4.5836004778893455,1.057517716227823,0.2545189730608235,0.5972913226788141,1.610718080870986,0.7358857424928427,0.31060205627147386,0.1056083982674143,1.3213555497460083,0.333713207701193,0.08070898267741021,0.17120609774278486,0.49394927521637355,0.5855574956780303,0.10757820149378433,0.35155937958067895,0.7946765132792761,0.30934443125417826,0.2335046976897202,0.014547586467394706,0.873168278693067,Chaetodontidae,6,5
Chaetodon lunulatus,Moorea,37.407926085102126,3.5281477258357516,31.133252397093923,44.94600392113488,30.47298910890707,2.570327102593441,25.405181428572497,35.80838257898767,5.8124989600719434,1.1173282219471878,4.00601869132457,8.40386408449313,4.90609986672116,1.2871012577925742,2.1940491439280243,7.459297477794933,0.7784211231680409,0.17952801639784596,0.4774902176235956,1.1980384819916046,0.5783896966490731,0.18273916711223498,0.17248471418400832,0.9275905101060996,0.17955554904600796,0.09073156392920004,0.01938734510454916,0.3605463115746484,0.15818898344208832,0.14506619530458476,0.003974384766997002,0.5472142277880202,0.25193744271696344,0.1908871241266372,0.009733343327389602,0.74022631281255,Chaetodontidae,6,10
Chaetodon ornatissimus,Mangareva,30.079910272357587,1.525669308642337,27.15978181590267,33.31351462720119,25.764222652710842,1.375084777853626,22.930299936359024,28.40337158591104,4.221160530863576,0.37657757450753115,3.4716687686658876,4.995285665974872,2.9701608807359023,0.8012425775364568,1.1244457832384034,4.274867330908203,0.5314901731164222,0.11953041738405472,0.33648941535705335,0.7925746992355297,0.31137897365789075,0.03716196639144114,0.2353184468546169,0.382026916371029,0.1414548637178668,0.06045960339781172,0.027074803531038007,0.2638453574497727,0.29432682704312346,0.18647105798572697,0.01895058894366285,0.7366153000280081,0.3862888874913334,0.14697019653683338,0.07159984354747646,0.6401009274647731,Chaetodontidae,8,8
Chaetodon ornatissimus,Moorea,37.240330170120416,1.0245646989727712,35.18511899972261,39.25916366032032,25.219171549827294,0.6699119888066182,23.898973544929934,26.523976180849388,6.968365101228395,0.4463706821323809,6.093125234805219,7.823659355662458,2.9005138139449795,0.15507246271131034,2.5948020971539467,3.1989254902600703,0.9458981202935615,0.0982109573312764,0.7829349907791929,1.18745952416453,0.7501775059565695,0.07691301972652233,0.6100595221792426,0.9115548917993642,0.322268735913399,0.026385934383443173,0.2699184445705709,0.3727267655501758,0.5820060983691887,0.03551604482006972,0.5065113854768039,0.6456959563605174,0.20113512083597626,0.09541363344920294,0.019566191469189823,0.3886086395798437,Chaetodontidae,23,31
Chaetodon ornatissimus,Tetiaroa,35.982141772076204,1.2113817925528758,33.4856019235984,38.386952503053415,23.574122113153937,1.7229530845530694,20.091191768854536,26.958509822705043,6.842249936142813,0.39345232968862953,6.0150367201974255,7.596138640075833,3.125036171091883,0.48334120162420946,2.134667490062246,4.102124328497621,1.0282887355337091,0.12632423664238862,0.7907700060090829,1.3038861093146248,0.802660694581389,0.18232178269164256,0.38096563113772014,1.1167189462929186,0.344123377350228,0.05249277175687099,0.2393149051929461,0.4470888026862925,0.5418804812798282,0.07517904847099553,0.3857554970881177,0.688676842267606,0.21732508438862616,0.16051199038711797,0.009786141535871977,0.608315259967503,Chaetodontidae,8,10
Chaetodon quadrimaculatus,Moorea,49.74700082486125,4.655219794241593,39.950727127430355,58.80016225330621,37.21491938161702,5.370937709510776,25.38535331061509,46.85574448127653,7.153938354637402,0.996135384774023,5.2217289455065075,9.170101352079206,4.991378950442656,1.2893378627390029,1.937188614893726,7.190391985011178,3.2622831670984658,1.9133517880864048,1.0224163701041156,8.472825633801326,1.929722807048422,0.569514836540971,0.4445697033010706,2.8183298743473744,0.24717455694793464,0.11778974898171911,0.03433281567113934,0.4925624546961557,0.29614972684315244,0.17889693712637147,0.028468689494814133,0.7205666077508063,0.328602473181352,0.22008107288919287,0.017239469411196924,0.8083325159674676,Chaetodontidae,4,4
